feature_id	gene_id	GSM461176	GSM461177	GSM461178	GSM461179	GSM461180	GSM461181	GSM461182
FBtr0300689	FBgn0031208	0	0	0	27.04866	0	0	0
FBtr0300690	FBgn0031208	5.01688	4	1.00518	0	2	2.00464	0
FBtr0330654	FBgn0031208	0	0	0	0	0	0	0
FBtr0078166	FBgn0002121	119.845	1.65861e-06	0.0954854	685.961	0.00137563	62.5907	186.834
FBtr0078167	FBgn0002121	0.000613896	0.000366545	0.666691	420.153	1.44138	9.81068e-07	5.66896e-05
FBtr0078168	FBgn0002121	97.6956	2.73017e-06	5.50984e-06	279.8405	1.32354e-05	0	151.869
FBtr0078169	FBgn0002121	0.0584599	2.26015e-06	7.25597e-06	602.947	0.000267188	3.7059e-07	0
FBtr0306589	FBgn0002121	183.633	0.431894	54.9191	127.5933	14.8697	0.0721528	125.872
FBtr0306590	FBgn0002121	1.15192e-06	3.81791e-06	16.3364	385.731	3.35083	3.04888	9.42679e-06
FBtr0306591	FBgn0002121	2294.96	1071.57	699.293	4364.41	720.625	573.504	1126.04
FBtr0306592	FBgn0002121	1.49711e-05	226.475	0	0.01086058	6.63858e-06	50.4794	0.160078
FBtr0330655	FBgn0002121	0.0128518	2.53369e-07	1.53933e-08	3.90203	6.34782e-06	0	105.484
FBtr0078170	FBgn0002121	3466.96	792.56	948.549	9332.09	879.357	769.769	1624.54
FBtr0078171	FBgn0002121	432.843	227.96	158.14	1761.354	158.355	388.536	847.203
FBtr0113008	FBgn0031209	2	1	0	6	0	2	2
FBtr0309226	FBgn0051973	22.2816	0	0	22.43933	8.01523	7.5366	2.73339e-06
FBtr0078163	FBgn0051973	0	22.8661	23.7061	107.5943	8.26304	7.6294	35.9605
FBtr0078164	FBgn0051973	26.6551	4.90072	6.61454	114.6052	9.80754	31.834	9.68027
FBtr0113416	FBgn0051973	51.0633	0	0	0	0	0	15.1381
FBtr0309225	FBgn0051973	0	0	0	0	0	0	0
FBtr0309227	FBgn0051973	0	9.08992	0	0	9.91419	0	0
FBtr0309228	FBgn0051973	0	0	5.67935	37.3611	0	0	0
FBtr0309229	FBgn0051973	0	5.14327	0	0	0	1.87734e-08	5.22109
FBtr0306539	FBgn0067779	95.1926	24.7337	25.4708	436.736	50.0988	32.4046	37.9947
FBtr0078100	FBgn0067779	0	75.3414	0.174721	501.557	50.1616	0	0
FBtr0306537	FBgn0067779	78.7556	1.17289e-06	1.775e-05	360.744	4.77312e-06	0	193.491
FBtr0306536	FBgn0067779	263.18	107.058	141.204	1617.28	61.077	192.19	421.682
